date_block_num,item_cnt_day
01-01-2013,131479
02-01-2013,128090
03-01-2013,147142
04-01-2013,107190
05-01-2013,106970
06-01-2013,125381
07-01-2013,116966
08-01-2013,125291
09-01-2013,133332
10-01-2013,127541
11-01-2013,130009
12-01-2013,183342
13-01-2013,116899
14-01-2013,109687
15-01-2013,115297
16-01-2013,96556
17-01-2013,97790
18-01-2013,97429
19-01-2013,91280
20-01-2013,102721
21-01-2013,99208
22-01-2013,107422
23-01-2013,117845
24-01-2013,168755
25-01-2013,110971
26-01-2013,84198
27-01-2013,82014
28-01-2013,77827
29-01-2013,72295
30-01-2013,64114
31-01-2013,63187
,
,
,
